step_depth,n_trajectories,n_failures,n_no_failure,failure_rate,failure_percent,bootstrap_se,ci_lower,ci_upper,ci_lower_percent,ci_upper_percent,power_predicted_failure_rate,exponential_predicted_failure_rate,power_residual,exponential_residual
2,334,187,147,0.5598802395209581,55.98802395209581,0.027079144543125624,0.5089820359281437,0.6137724550898204,50.898203592814376,61.377245508982035,0.6735931324929127,0.7545825773364025,-0.11371289297195464,-0.19470233781544444
3,334,268,66,0.8023952095808383,80.23952095808383,0.02180457856408432,0.7604790419161677,0.844311377245509,76.04790419161677,84.4311377245509,0.7310149873042315,0.772395977160366,0.07138022227660679,0.02999923242047231
4,334,217,117,0.6497005988023952,64.97005988023952,0.02604780093585151,0.5988023952095808,0.7005988023952096,59.88023952095808,70.05988023952095,0.7747012296350992,0.790629897180288,-0.12500063083270407,-0.1409292983778928
5,334,309,25,0.9251497005988024,92.51497005988024,0.014429119551182031,0.8952095808383234,0.9520958083832335,89.52095808383234,95.20958083832335,0.8103769160817085,0.8092942645991144,0.11477278451709394,0.11585543599968806
6,333,268,65,0.8048048048048048,80.48048048048048,0.021941033676494925,0.7597597597597597,0.8438438438438438,75.97597597597597,84.38438438438438,0.8407422555666171,0.828399240970862,-0.03593745076181232,-0.023594436166057275
7,333,307,26,0.9219219219219219,92.1921921921922,0.014668159613952078,0.8918918918918919,0.948948948948949,89.1891891891892,94.8948948948949,0.867301772311639,0.8479552277329353,0.05462014961028294,0.0739666941889866
8,333,277,56,0.8318318318318318,83.18318318318319,0.02054392789589444,0.7897897897897898,0.8738738738738738,78.97897897897897,87.38738738738738,0.8909859175330138,0.8679728718690425,-0.05915408570118197,-0.03614104003721064
9,333,324,9,0.972972972972973,97.2972972972973,0.008889759059297064,0.954954954954955,0.987987987987988,95.4954954954955,98.7987987987988,0.9124130868208162,0.8884630717057982,0.060559886152156794,0.08450990126717484
10,333,317,16,0.9519519519519519,95.1951951951952,0.011706001454761465,0.9279279279279279,0.972972972972973,92.7927927927928,97.2972972972973,0.9320166181519147,0.9094369828461643,0.019935333800037203,0.04251496910578767
11,333,327,6,0.9819819819819819,98.1981981981982,0.007291821032530458,0.9669669669669669,0.993993993993994,96.69669669669669,99.3993993993994,0.9501127624169042,0.9309060242429622,0.03186921956507771,0.05107595773901974
12,333,322,11,0.9669669669669669,96.69669669669669,0.009929794296513698,0.9459459459459459,0.984984984984985,94.5945945945946,98.49849849849849,0.9669398747922926,0.9528818844157625,2.709217467433689e-05,0.014085082551204442
13,316,310,6,0.9810126582278481,98.10126582278481,0.007665040727361912,0.9651898734177216,0.9936708860759493,96.51898734177216,99.36708860759494,0.9826823664921348,0.9753765278145358,-0.0016697082642866956,0.005636130413312346
14,17,16,1,0.9411764705882353,94.11764705882352,0.05621257477120208,0.8235294117647058,1.0,82.35294117647058,100.0,0.9974860447105242,0.9984022013335304,-0.056309574122288875,-0.057225730745295134
